Array Size,Merge Sort,Counting Sort,Quick Sort,Radix Sort
138000,0.040000,0.003000,0.125000,0.012000
139000,0.031000,0.003000,0.148000,0.011000
140000,0.030000,0.003000,0.080000,0.011000
141000,0.040000,0.004000,0.114000,0.011000
142000,0.031000,0.002000,0.136000,0.018000
143000,0.060000,0.004000,0.171000,0.021000
144000,0.060000,0.004000,0.167000,0.011000
145000,0.035000,0.003000,0.131000,0.013000
146000,0.038000,0.002000,0.158000,0.020000
147000,0.058000,0.004000,0.140000,0.012000
148000,0.039000,0.003000,0.142000,0.013000
149000,0.039000,0.003000,0.146000,0.016000
150000,0.057000,0.006000,0.166000,0.023000
151000,0.107000,0.007000,0.164000,0.012000
152000,0.037000,0.002000,0.153000,0.021000
153000,0.056000,0.004000,0.140000,0.012000
154000,0.047000,0.004000,0.117000,0.013000
155000,0.047000,0.005000,0.166000,0.029000
156000,0.082000,0.006000,0.231000,0.018000
157000,0.066000,0.004000,0.163000,0.012000
158000,0.053000,0.004000,0.168000,0.020000
159000,0.046000,0.003000,0.132000,0.012000
160000,0.035000,0.002000,0.127000,0.012000
161000,0.035000,0.003000,0.133000,0.020000
162000,0.094000,0.002000,0.112000,0.018000
163000,0.055000,0.003000,0.153000,0.026000
164000,0.068000,0.004000,0.158000,0.028000
165000,0.085000,0.006000,0.209000,0.015000
166000,0.060000,0.005000,0.196000,0.016000
167000,0.042000,0.002000,0.204000,0.026000
168000,0.070000,0.004000,0.149000,0.012000
169000,0.043000,0.003000,0.122000,0.017000
170000,0.053000,0.004000,0.166000,0.012000
171000,0.038000,0.003000,0.125000,0.013000
172000,0.065000,0.007000,0.186000,0.016000
173000,0.039000,0.003000,0.118000,0.019000
174000,0.076000,0.007000,0.177000,0.014000
175000,0.046000,0.004000,0.207000,0.016000
176000,0.059000,0.006000,0.220000,0.022000
177000,0.074000,0.005000,0.137000,0.016000
178000,0.047000,0.004000,0.155000,0.016000
179000,0.047000,0.004000,0.164000,0.028000
180000,0.076000,0.006000,0.214000,0.018000
181000,0.060000,0.005000,0.183000,0.018000
182000,0.073000,0.005000,0.241000,0.018000
183000,0.056000,0.005000,0.194000,0.049000
184000,0.112000,0.006000,0.255000,0.028000
185000,0.079000,0.005000,0.222000,0.026000
186000,0.079000,0.006000,0.182000,0.022000
187000,0.056000,0.004000,0.173000,0.015000
